season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
2009-10,Houston Rockets,Toyota Center,42,0.512,0,R. Adelman,L. Scola (6.3),#CE1141,#C4CED4,-0.02,
2010-11,Houston Rockets,Toyota Center,43,0.524,0,R. Adelman,K. Martin (9.5),#CE1141,#C4CED4,2.37,
2011-12,Houston Rockets,Toyota Center,34,0.515,0,K. McHale,G. Dragic (5.1),#CE1141,#C4CED4,0.57,
2012-13,Houston Rockets,Toyota Center,45,0.549,0.2,K. McHale,J. Harden (12.8),#CE1141,#C4CED4,3.69,Oklahoma City Thunder (2-4)
2013-14,Houston Rockets,Toyota Center,54,0.659,0.2,K. McHale,J. Harden (12.8),#CE1141,#C4CED4,5.06,Portland Trail Blazers (2-4)
2014-15,Houston Rockets,Toyota Center,56,0.683,0.6,K. McHale,J. Harden (16.4),#CE1141,#C4CED4,3.82,Golden State Warriors (1-4)
2015-16,Houston Rockets,Toyota Center,41,0.5,0.2,K. McHale/J. Bickerstaff,J. Harden (13.3),#CE1141,#C4CED4,0.34,Golden State Warriors (1-4)
2016-17,Houston Rockets,Toyota Center,55,0.671,0.4,M. D'Antoni,J. Harden (15.0),#CE1141,#C4CED4,5.84,San Antonio Spurs (2-4)
2017-18,Houston Rockets,Toyota Center,65,0.793,0.6,M. D'Antoni,J. Harden (15.4),#CE1141,#C4CED4,8.21,Golden State Warriors (3-4)
2018-19,Houston Rockets,Toyota Center,53,0.646,0.4,M. D'Antoni,J. Harden (15.2),#CE1141,#C4CED4,4.96,Golden State Warriors (2-4)
2019-20,Houston Rockets,Toyota Center,44,0.611,0.4,M. D'Antoni,J. Harden (13.1),#CE1141,#C4CED4,3.13,Los Angeles Lakers (1-4)
