season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1987-88,Sacramento Kings,ARCO Arena,24,0.293,0,B. Russell/J. Reynolds,O. Thorpe (8.1),#CC382C,#233E92,-5.84,teams/SAC/logos/1986-1994.png,,,,
1988-89,Sacramento Kings,ARCO Arena,27,0.329,0,J. Reynolds,H. Pressley (4.8),#CC382C,#233E92,-5.35,teams/SAC/logos/1986-1994.png,,,,
1989-90,Sacramento Kings,ARCO Arena,23,0.28,0,J. Reynolds/D. Motta,R. McCray (7.9),#CC382C,#233E92,-4.41,teams/SAC/logos/1986-1994.png,,,,
1990-91,Sacramento Kings,ARCO Arena,25,0.305,0,D. Motta,A. Carr (5.4),#CC382C,#233E92,-6.27,teams/SAC/logos/1986-1994.png,,,,
1991-92,Sacramento Kings,ARCO Arena,29,0.354,0,D. Motta/R. Hughes,M. Richmond (4.9),#CC382C,#233E92,-5.63,teams/SAC/logos/1986-1994.png,,,,
1992-93,Sacramento Kings,ARCO Arena,25,0.305,0,G. St. Jean,W. Tisdale (4.5),#CC382C,#233E92,-3,teams/SAC/logos/1986-1994.png,,,,
1993-94,Sacramento Kings,ARCO Arena,28,0.341,0,G. St. Jean,M. Richmond (6.4),#CC382C,#233E92,-5.32,teams/SAC/logos/1986-1994.png,,,,
1994-95,Sacramento Kings,ARCO Arena,39,0.476,0,G. St. Jean,M. Richmond (8.0),#5A2B81,#63727A,-0.74,teams/SAC/logos/1995-2016.png,,,,
1995-96,Sacramento Kings,ARCO Arena,39,0.476,0.2,G. St. Jean,M. Richmond (9.3),#5A2B81,#63727A,-2.62,teams/SAC/logos/1995-2016.png,Lost First Round versus <span>Seattle SuperSonics (1-3)</span>,,,
1996-97,Sacramento Kings,ARCO Arena,34,0.415,0,G. St. Jean/E. Jordan,M. Richmond (10.8),#5A2B81,#63727A,-3.64,teams/SAC/logos/1995-2016.png,,,,
1997-98,Sacramento Kings,ARCO Arena,27,0.329,0,E. Jordan,M. Richmond (7.9),#5A2B81,#63727A,-5.83,teams/SAC/logos/1995-2016.png,,,,
1998-99,Sacramento Kings,ARCO Arena,27,0.54,0.2,R. Adelman,V. Divac (5.2),#5A2B81,#63727A,-0.89,teams/SAC/logos/1995-2016.png,Lost First Round versus <span>Utah Jazz (2-3)</span>,,,
1999-00,Sacramento Kings,ARCO Arena,44,0.537,0.2,R. Adelman,C. Webber (10.7),#5A2B81,#63727A,3.04,teams/SAC/logos/1995-2016.png,Lost First Round versus <span>Los Angeles Lakers (2-3)</span>,,,
2000-01,Sacramento Kings,ARCO Arena,55,0.671,0.4,R. Adelman,C. Webber (11.0),#5A2B81,#63727A,6.07,teams/SAC/logos/1995-2016.png,Won First Round versus <span>Phoenix Suns (3-1)</span>,Lost Conference Semifinals versus <span>Los Angeles Lakers (0-4)</span>,,
2001-02,Sacramento Kings,ARCO Arena,61,0.744,0.6,R. Adelman,P. Stojakovic (9.9),#5A2B81,#63727A,7.61,teams/SAC/logos/1995-2016.png,Won First Round versus <span>Utah Jazz (3-1)</span>,Won Conference Semifinals versus <span>Dallas Mavericks (4-1)</span>,Lost Conference Finals versus <span>Los Angeles Lakers (3-4)</span>,
2002-03,Sacramento Kings,ARCO Arena,59,0.72,0.4,R. Adelman,P. Stojakovic (10.1),#5A2B81,#63727A,6.68,teams/SAC/logos/1995-2016.png,Won First Round versus <span>Utah Jazz (4-1)</span>,Lost Conference Semifinals versus <span>Dallas Mavericks (3-4)</span>,,
2003-04,Sacramento Kings,ARCO Arena,55,0.671,0.4,R. Adelman,P. Stojakovic (13.5),#5A2B81,#63727A,5.41,teams/SAC/logos/1995-2016.png,Won First Round versus <span>Dallas Mavericks (4-1)</span>,Lost Conference Semifinals versus <span>Minnesota Timberwolves (3-4)</span>,,
2004-05,Sacramento Kings,ARCO Arena,50,0.61,0.2,R. Adelman,B. Miller (8.6),#5A2B81,#63727A,2.56,teams/SAC/logos/1995-2016.png,Lost First Round versus <span>Seattle SuperSonics (1-4)</span>,,,
2005-06,Sacramento Kings,ARCO Arena,44,0.537,0.2,R. Adelman,B. Miller (9.1),#5A2B81,#63727A,1.61,teams/SAC/logos/1995-2016.png,Lost First Round versus <span>San Antonio Spurs (2-4)</span>,,,
2006-07,Sacramento Kings,ARCO Arena,33,0.402,0,E. Musselman,K. Martin (10.2),#5A2B81,#63727A,-1.35,teams/SAC/logos/1995-2016.png,,,,
2007-08,Sacramento Kings,ARCO Arena,38,0.463,0,R. Theus,K. Martin (8.4),#5A2B81,#63727A,-1.86,teams/SAC/logos/1995-2016.png,,,,
2008-09,Sacramento Kings,ARCO Arena,17,0.207,0,R. Theus/K. Natt,K. Martin (4.7),#5A2B81,#63727A,-8.6,teams/SAC/logos/1995-2016.png,,,,
2009-10,Sacramento Kings,Power Balance Pavilion,25,0.305,0,P. Westphal,B. Udrih (5.5),#5A2B81,#63727A,-4.06,teams/SAC/logos/1995-2016.png,,,,
2010-11,Sacramento Kings,Power Balance Pavilion,24,0.293,0,P. Westphal,B. Udrih (7.2),#5A2B81,#63727A,-4.8,teams/SAC/logos/1995-2016.png,,,,
2011-12,Sacramento Kings,Power Balance Pavilion,22,0.333,0,P. Westphal/K. Smart,I. Thomas (4.3),#5A2B81,#63727A,-4.95,teams/SAC/logos/1995-2016.png,,,,
2012-13,Sacramento Kings,Sleep Train Arena,28,0.341,0,K. Smart,I. Thomas (5.0),#5A2B81,#63727A,-4.26,teams/SAC/logos/1995-2016.png,,,,
2013-14,Sacramento Kings,Sleep Train Arena,28,0.341,0,M. Malone,D. Cousins (7.9),#5A2B81,#63727A,-2.08,teams/SAC/logos/1995-2016.png,,,,
2014-15,Sacramento Kings,Sleep Train Arena,29,0.354,0,M. Malone/T. Corbin/G. Karl,R. Gay (6.1),#5A2B81,#63727A,-3.07,teams/SAC/logos/1995-2016.png,,,,
2015-16,Sacramento Kings,Sleep Train Arena,33,0.402,0,G. Karl,D. Cousins (5.7),#5A2B81,#63727A,-2.32,teams/SAC/logos/1995-2016.png,,,,
2016-17,Sacramento Kings,Golden 1 Center,32,0.39,0,D. Joerger,D. Cousins (6.0),#5A2B81,#63727A,-3.29,teams/SAC/logos/2017-present.png,,,,
2017-18,Sacramento Kings,Golden 1 Center,27,0.329,0,D. Joerger,W. Cauley-Stein (3.9),#5A2B81,#63727A,-6.6,teams/SAC/logos/2017-present.png,,,,
2018-19,Sacramento Kings,Golden 1 Center,39,0.476,0,D. Joerger,W. Cauley-Stein (6.7),#5A2B81,#63727A,-0.81,teams/SAC/logos/2017-present.png,,,,
2019-20,Sacramento Kings,Golden 1 Center,31,0.431,0,L. Walton,N. Bjelica (5.3),#5A2B81,#63727A,-1.59,teams/SAC/logos/2017-present.png,,,,
2020-21,Sacramento Kings,Golden 1 Center,31,0.431,0,L. Walton (31-41),R. Holmes (6.1),#5A2B81,#63727A,-3.45,teams/SAC/logos/2017-present.png,,,,
