season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent1,opponent2,opponent3,opponent4
2009-10,New Jersey Nets,Izod Center,12,0.146,0,L. Frank/T. Barrise/K. Vandeweghe,B. Lopez (7.9),#002A60,#CD1041,-8.93,,,,
2010-11,New Jersey Nets,Prudential Center,24,0.293,0,A. Johnson,B. Lopez (6.3),#002A60,#CD1041,-6.28,,,,
2011-12,New Jersey Nets,Prudential Center,22,0.333,0,A. Johnson,K. Humphries (5.3),#002A60,#CD1041,-6.37,,,,
2012-13,Brooklyn Nets,Barclays Center,49,0.598,0.2,A. Johnson/P. Carlesimo,D. Williams (10.9),#000000,#000000,1.25,Lost First Round versus <span>Chicago Bulls (3-4)</span>,,,
2013-14,Brooklyn Nets,Barclays Center,44,0.537,0.4,J. Kidd,D. Williams (5.4),#000000,#000000,-1.58,Won First Round versus <span>Toronto Raptors (4-3)</span>,Lost Conference Semifinals versus <span>Miami Heat (1-4)</span>,,
2014-15,Brooklyn Nets,Barclays Center,38,0.463,0.2,L. Hollins,B. Lopez (7.0),#000000,#000000,-3.13,Lost First Round versus <span>Atlanta Hawks (2-4)</span>,,,
2015-16,Brooklyn Nets,Barclays Center,21,0.256,0,L. Hollins/T. Brown,B. Lopez (6.2),#000000,#000000,-7.12,,,,
2016-17,Brooklyn Nets,Barclays Center,20,0.244,0,K. Atkinson,B. Lopez (4.9),#000000,#000000,-6.74,,,,
2017-18,Brooklyn Nets,Barclays Center,28,0.341,0,K. Atkinson,S. Dinwiddie (5.7),#000000,#000000,-3.67,,,,
2018-19,Brooklyn Nets,Barclays Center,42,0.512,0.2,K. Atkinson,J. Allen (7.6),#000000,#000000,-0.4,Lost First Round versus <span>Philadelphia 76ers (1-4)</span>,,,
2019-20,Brooklyn Nets,Barclays Center,35,0.486,0.2,K. Atkinson/J. Vaughn,J. Allen (8.2),#000000,#000000,-1.01,Lost First Round versus <span>Toronto Raptors (0-4)</span>,,,
