season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
2005-06,Philadelphia 76ers,Wachovia Center,38,0.463,0,M. Cheeks,A. Iverson (10.6),#006BB6,#ED174C,-2.1,
2006-07,Philadelphia 76ers,Wachovia Center,35,0.427,0,M. Cheeks,A. Iguodala (7.7),#006BB6,#ED174C,-3.26,
2007-08,Philadelphia 76ers,Wachovia Center,40,0.488,0.2,M. Cheeks,A. Iguodala (9.6),#006BB6,#ED174C,0.19,Detroit Pistons (2-4)
2008-09,Philadelphia 76ers,Wachovia Center,41,0.5,0.2,M. Cheeks/T. DiLeo,A. Iguodala (9.2),#006BB6,#ED174C,0.16,Orlando Magic (2-4)
2009-10,Philadelphia 76ers,Wachovia Center,27,0.329,0,E. Jordan,A. Iguodala (6.7),#006BB6,#ED174C,-3.93,
2010-11,Philadelphia 76ers,Wells Fargo Center,41,0.5,0.2,D. Collins,E. Brand (9.4),#006BB6,#ED174C,1.01,Miami Heat (1-4)
2011-12,Philadelphia 76ers,Wells Fargo Center,35,0.53,0.4,D. Collins,A. Iguodala (7.3),#006BB6,#ED174C,3.59,Boston Celtics (3-4)
2012-13,Philadelphia 76ers,Wells Fargo Center,34,0.415,0,D. Collins,T. Young (7.4),#006BB6,#ED174C,-3.51,
2013-14,Philadelphia 76ers,Wells Fargo Center,19,0.232,0,B. Brown,T. Young (3.5),#006BB6,#ED174C,-10.66,
2014-15,Philadelphia 76ers,Wells Fargo Center,18,0.22,0,B. Brown,N. Noel (4.0),#006BB6,#ED174C,-9.04,
2015-16,Philadelphia 76ers,Wells Fargo Center,10,0.122,0,B. Brown,N. Noel (3.0),#006BB6,#ED174C,-9.92,
2016-17,Philadelphia 76ers,Wells Fargo Center,28,0.341,0,B. Brown,R. Holmes (3.7),#006BB6,#ED174C,-5.83,
2017-18,Philadelphia 76ers,Wells Fargo Center,52,0.634,0.4,B. Brown,B. Simmons (9.2),#006BB6,#ED174C,4.3,Boston Celtics (1-4)
