season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1990-91,Philadelphia 76ers,The Spectrum,44,0.537,0.4,J. Lynam,C. Barkley (13.4),#006BB6,#ED174C,-0.39,teams/PHI/logos/1978-1997.png,Won First Round versus <span>Milwaukee Bucks (3-0)</span>,Lost Conference Semifinals versus <span>Chicago Bulls (1-4)</span>,,
1991-92,Philadelphia 76ers,The Spectrum,35,0.427,0,J. Lynam,C. Barkley (12.3),#006BB6,#ED174C,-1.34,teams/PHI/logos/1978-1997.png,,,,
1992-93,Philadelphia 76ers,The Spectrum,26,0.317,0,D. Moe/F. Carter,H. Hawkins (8.5),#006BB6,#ED174C,-5.25,teams/PHI/logos/1978-1997.png,,,,
1993-94,Philadelphia 76ers,The Spectrum,25,0.305,0,F. Carter,C. Weatherspoon (6.0),#006BB6,#ED174C,-7.37,teams/PHI/logos/1978-1997.png,,,,
1994-95,Philadelphia 76ers,CoreStates Spectrum,24,0.293,0,J. Lucas,D. Barros (12.7),#006BB6,#ED174C,-5.06,teams/PHI/logos/1978-1997.png,,,,
1995-96,Philadelphia 76ers,CoreStates Spectrum,18,0.22,0,J. Lucas,C. Weatherspoon (5.8),#006BB6,#ED174C,-9.45,teams/PHI/logos/1978-1997.png,,,,
1996-97,Philadelphia 76ers,CoreStates Spectrum,22,0.268,0,J. Davis,C. Weatherspoon (5.0),#006BB6,#ED174C,-5.89,teams/PHI/logos/1978-1997.png,,,,
1997-98,Philadelphia 76ers,CoreStates Spectrum,31,0.378,0,L. Brown,A. Iverson (9.0),#006BB6,#ED174C,-1.89,teams/PHI/logos/1998-2009.png,,,,
1998-99,Philadelphia 76ers,First Union Center,28,0.56,0.4,L. Brown,A. Iverson (7.2),#006BB6,#ED174C,2.56,teams/PHI/logos/1998-2009.png,Won First Round versus <span>Orlando Magic (3-1)</span>,Lost Conference Semifinals versus <span>Indiana Pacers (0-4)</span>,,
1999-00,Philadelphia 76ers,First Union Center,49,0.598,0.4,L. Brown,A. Iverson (6.9),#006BB6,#ED174C,1.02,teams/PHI/logos/1998-2009.png,Won First Round versus <span>Charlotte Hornets (3-1)</span>,Lost Conference Semifinals versus <span>Indiana Pacers (2-4)</span>,,
2000-01,Philadelphia 76ers,First Union Center,56,0.683,0.8,L. Brown,A. Iverson (11.8),#006BB6,#ED174C,3.64,teams/PHI/logos/1998-2009.png,Won First Round versus <span>Indiana Pacers (3-1)</span>,Won Conference Semifinals versus <span>Toronto Raptors (4-3)</span>,Won Conference Finals versus <span>Milwaukee Bucks (4-3)</span>,Lost Finals versus <span>Los Angeles Lakers (1-4)</span>
2001-02,Philadelphia 76ers,First Union Center,43,0.524,0.2,L. Brown,D. Mutombo (9.6),#006BB6,#ED174C,1.27,teams/PHI/logos/1998-2009.png,Lost First Round versus <span>Boston Celtics (2-3)</span>,,,
2002-03,Philadelphia 76ers,First Union Center,48,0.585,0.4,L. Brown,A. Iverson (9.2),#006BB6,#ED174C,1.76,teams/PHI/logos/1998-2009.png,Won First Round versus <span>New Orleans Hornets (4-2)</span>,Lost Conference Semifinals versus <span>Detroit Pistons (2-4)</span>,,
2003-04,Philadelphia 76ers,Wachovia Center,33,0.402,0,R. Ayers/C. Ford,S. Dalembert (6.9),#006BB6,#ED174C,-2.95,teams/PHI/logos/1998-2009.png,,,,
2004-05,Philadelphia 76ers,Wachovia Center,43,0.524,0.2,J. O'Brien,A. Iverson (9.0),#006BB6,#ED174C,-1.07,teams/PHI/logos/1998-2009.png,Lost First Round versus <span>Detroit Pistons (1-4)</span>,,,
2005-06,Philadelphia 76ers,Wachovia Center,38,0.463,0,M. Cheeks,A. Iverson (10.6),#006BB6,#ED174C,-2.1,teams/PHI/logos/1998-2009.png,,,,
2006-07,Philadelphia 76ers,Wachovia Center,35,0.427,0,M. Cheeks,A. Iguodala (7.7),#006BB6,#ED174C,-3.26,teams/PHI/logos/1998-2009.png,,,,
2007-08,Philadelphia 76ers,Wachovia Center,40,0.488,0.2,M. Cheeks,A. Iguodala (9.6),#006BB6,#ED174C,0.19,teams/PHI/logos/1998-2009.png,Lost First Round versus <span>Detroit Pistons (2-4)</span>,,,
2008-09,Philadelphia 76ers,Wachovia Center,41,0.5,0.2,M. Cheeks/T. DiLeo,A. Iguodala (9.2),#006BB6,#ED174C,0.16,teams/PHI/logos/1998-2009.png,Lost First Round versus <span>Orlando Magic (2-4)</span>,,,
2009-10,Philadelphia 76ers,Wachovia Center,27,0.329,0,E. Jordan,A. Iguodala (6.7),#006BB6,#ED174C,-3.93,teams/PHI/logos/2010-2015.png,,,,
2010-11,Philadelphia 76ers,Wells Fargo Center,41,0.5,0.2,D. Collins,E. Brand (9.4),#006BB6,#ED174C,1.01,teams/PHI/logos/2010-2015.png,Lost First Round versus <span>Miami Heat (1-4)</span>,,,
2011-12,Philadelphia 76ers,Wells Fargo Center,35,0.53,0.4,D. Collins,A. Iguodala (7.3),#006BB6,#ED174C,3.59,teams/PHI/logos/2010-2015.png,Won First Round versus <span>Chicago Bulls (4-2)</span>,Lost Conference Semifinals versus <span>Boston Celtics (3-4)</span>,,
2012-13,Philadelphia 76ers,Wells Fargo Center,34,0.415,0,D. Collins,T. Young (7.4),#006BB6,#ED174C,-3.51,teams/PHI/logos/2010-2015.png,,,,
2013-14,Philadelphia 76ers,Wells Fargo Center,19,0.232,0,B. Brown,T. Young (3.5),#006BB6,#ED174C,-10.66,teams/PHI/logos/2010-2015.png,,,,
2014-15,Philadelphia 76ers,Wells Fargo Center,18,0.22,0,B. Brown,N. Noel (4.0),#006BB6,#ED174C,-9.04,teams/PHI/logos/2010-2015.png,,,,
2015-16,Philadelphia 76ers,Wells Fargo Center,10,0.122,0,B. Brown,N. Noel (3.0),#006BB6,#ED174C,-9.92,teams/PHI/logos/2016-present.png,,,,
2016-17,Philadelphia 76ers,Wells Fargo Center,28,0.341,0,B. Brown,R. Holmes (3.7),#006BB6,#ED174C,-5.83,teams/PHI/logos/2016-present.png,,,,
2017-18,Philadelphia 76ers,Wells Fargo Center,52,0.634,0.4,B. Brown,B. Simmons (9.2),#006BB6,#ED174C,4.3,teams/PHI/logos/2016-present.png,Won First Round versus <span>Miami Heat (4-1)</span>,Lost Conference Semifinals versus <span>Boston Celtics (1-4)</span>,,
2018-19,Philadelphia 76ers,Wells Fargo Center,51,0.622,0.4,B. Brown,J. Embiid (8.7),#006BB6,#ED174C,2.25,teams/PHI/logos/2016-present.png,Won First Round versus <span>Brooklyn Nets (4-1)</span>,Lost Conference Semifinals versus <span>Toronto Raptors (3-4)</span>,,
2019-20,Philadelphia 76ers,Wells Fargo Center,43,0.589,0.2,B. Brown,B. Simmons (6.9),#006BB6,#ED174C,2.25,teams/PHI/logos/2016-present.png,Lost First Round versus <span>Boston Celtics (0-4)</span>,,,
2020-21,Philadelphia 76ers,Wells Fargo Center,49,0.681,0.4,D. Rivers,J. Embiid (8.8),#006BB6,#ED174C,5.28,teams/PHI/logos/2016-present.png,Won First Round versus <span>Washington Wizards (4-1)</span>,Lost Conference Semifinals versus <span>Atlanta Hawks (3-4)</span>,,
2021-22,Philadelphia 76ers,Wells Fargo Center,51,0.622,,D. Rivers,J. Embiid (12.0),#006BB6,#ED174C,2.57,teams/PHI/logos/2016-present.png,Won First Round versus <span>Toronto Raptors (4-2)</span>,,,
